Name,Organization,id,Description,Translation Required,Spanish_Description,locations,address_1 (from address) (from locations) 2,city (from address) (from locations) 3,Zip Code (from address) (from locations) 3,latitude (from locations) 2,longitude (from locations) 2,url,email,active,application_process,service_options,payment_options,taxonomy,phones,schedule,weekday (from schedule) 3,opens_at (from schedule) 3,closes_at (from schedule) 3,add_day (from schedule) 4,add_hours (from schedule) 4,med_area,legal_area,cash_area,dv_area,foodstamp_area,freefood_area,details,service_area,Last updated,Updated By,owner,status,Auto-Last updated,Auto-Last updated by,Questions/Confusions/Observations
Boug Cali,Boug Cali,6490,Instagram: @bougcali.,,,Chase Center San Francisco,Chase Center,San Francisco,94158,NA,NA,https://bougcali.com/,,Closed,,,,Black-owned Restaurant,,Boug Cali,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Chakula Eats,Chakula Eats,6491,Instagram: @chakula.eats.,,,,,,,,,http://www.chakulaeats.com,,Closed,,,,Black-owned Restaurant,,Chakula Eats,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",9am,7pm,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Chef Cook and Run,Chef Cook and Run,6492,Instagram: @chefcookandrun.,,,,,,,,,https://www.chefcookandrun.com,,Closed,,,,Black-owned Restaurant,,Chef Cook and Run,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",9am,5pm,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Chef KB,Chef KB,6493,Instagram: @chef.kb.,,,1922 Broadway St,1922 Broadway St,,94589,NA,NA,,,Closed,,,,Black-owned Restaurant,,Chef KB,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:30pm,5:30pm,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Chef Michele McQueen,Chef Michele McQueen,6494,Instagram: @chefmichelemcqueen.,,,1409 Franklin St.,1409 Franklin St.,,94612,NA,NA,https://www.chefmichele.com,,Closed,,,,Black-owned Restaurant,,Chef Michele McQueen,"Tuesday, Wednesday",,,Tuesday,3pm - 5:30pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Chris Evans Events,Chris Evans Events,6495,Instagram: @chrisevansevents.,,,478 25th St.,478 25th St.,,94612,NA,NA,http://www.chrisevansevents.com/home,,Closed,,,,Black-owned Restaurant,,Chris Evans Events,"Monday, Tuesday, Wednesday, Thursday, Friday",8am,6pm,Sat,0,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Dayo Plates,Dayo Plates,6496,Instagram: @dayo._dayo.,,,,,,,,,,,Closed,,,,Black-owned Restaurant,,"Dayo Plates,Dayo Plates",,"12:00 AM, 12:00 AM",,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Dayo Plates,Dayo Plates,6497,Instagram: @dayo._dayo.,,,,,,,,,,,Closed,,,,Black-owned Restaurant,,,,,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Dee Lee Cakes,Dee Lee Cakes,6498,Instagram: @deeleecakes.,,,,,,,,,,,Closed,,,,Black-owned Restaurant,,Dee Lee Cakes,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Eat Play Events & Catering,Eat Play Events & Catering,6499,Instagram: @epecevents.,,,,,,,,,https://www.eatplayeventsandcatering.com,,Closed,,,,Black-owned Restaurant,,Eat Play Events & Catering,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",6am,10pm,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Fat Man Super BBQ,Fat Man Super BBQ,6500,Instagram: @oaklandsfatmansuperbbq.,,,6851 Foothill Avenue,6851 Foothill Avenue,,94605,NA,NA,,,Closed,,,,Black-owned Restaurant,,Fat Man Super BBQ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2:30pm,12am,Friday,3:30pm - 2am,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Full Belly Bakery,Full Belly Bakery,6501,Instagram: @fullbellybakery.,,,,,,,,,https://fullbellybakery.com/,,Closed,,,,Black-owned Restaurant,,Full Belly Bakery,"Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM,,Wednesday,10am - 6pm; Sat: 10am - 4pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Ginger Snap Shots,Ginger Snap Shots,6502,Instagram: @stephaniegingersnapshots.,,,,,,,,,https://www.stephaniesgingersnapshots.com/,,Closed,,,,Black-owned Restaurant,,Ginger Snap Shots,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Gourmet Puff,Gourmet Puff,6503,Instagram: @gourmetpuff.,,,193 Montecito Ave,193 Montecito Ave,,94610,NA,NA,http://gourmetpuff.co,,Closed,,,,Black-owned Restaurant,,Gourmet Puff,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Healing Kitchen,Healing Kitchen,6504,Instagram: @healingkitchensf.,,,,,,,,,https://healing-kitchen-sf.square.site/,,Closed,,,,Black-owned Restaurant,,Healing Kitchen,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,,Tuesday,2:30pm - 6:30pm; Wed: 8am - 8pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Hella Tea,Hella Tea,6505,Instagram: @hellateaoakland.,,,,,,,,,https://www.hellatea.com,,Closed,,,,Black-owned Restaurant,,Hella Tea,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Hunnie Bees Cakes,Hunnie Bees Cakes,6506,Instagram: @hunniebeescakes.,,,,,,,,,,,Closed,,,,Black-owned Restaurant,,Hunnie Bees Cakes,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
In The Kitchen With Dominique,In The Kitchen With Dominique,6507,Instagram: @inthekitchenwithdominique.,,,,,,,,,https://www.youtu.be/ILMo54RAhOk,,Closed,,,,Black-owned Restaurant,,In The Kitchen With Dominique,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Flexible,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Jonathan's Fish & Chips,Jonathan's Fish & Chips,6508,,,,Food truck,Food truck,,,NA,NA,https://www.facebook.com/jonathansfishnchips/,,Closed,,,,Black-owned Restaurant,,Jonathan's Fish & Chips,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",11am,7pm,Sun,0,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Jusla Eats,Jusla Eats,6509,Instagram: @lala_icook4dapeople.,,,,,,,,,https://www.cheflalaharrison.com/,,Closed,,,,Black-owned Restaurant,,Jusla Eats,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Kubé Nice Cream,Kubé Nice Cream,6510,Instagram: @kubenicecream.,,,Online,Online,,,NA,NA,,,Closed,,,,Black-owned Restaurant,,Kubé Nice Cream,,,,,,,,,,,,,,,,,,10/26/2020 10:03am,Charlie Hoffs,
L'Objet Wines,L'Objet Wines,6511,,,,243 East Street,243 East Street,,95448,NA,NA,https://www.lobjetwines.com/,,Closed,,,,Black-owned Restaurant,,L'Objet Wines,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Lando’s,Lando’s,6512,Instagram: @_landos.,,,Online,Online,,,NA,NA,,,Closed,,,,Black-owned Restaurant,,Lando’s,,,,,,,,,,,,,,,,,,10/26/2020 10:03am,Charlie Hoffs,
Layers By Xanthe,Layers By Xanthe,6513,Instagram: @layersbyxanthe.,,,Online,Online,,,NA,NA,https://www.layersbyxanthe.com/,,Closed,,,,Black-owned Restaurant,,Layers By Xanthe,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
MB's Place,MB's Place,6514,Instagram: @_mbsplace.,,,Online,Online,,,NA,NA,,,Closed,,,,Black-owned Restaurant,,MB's Place,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Mi Granny's Kitchen,Mi Granny's Kitchen,6515,Instagram: @migrannyskitchen.,,,Online,Online,,,NA,NA,,,Closed,,,,Black-owned Restaurant,,Mi Granny's Kitchen,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Minnie Bell's Soul Movement,Minnie Bell's Soul Movement,6516,Instagram: @minnie_bells. Other info: Employee relief fund,,,5959 Shellmound Street,5959 Shellmound Street,,94608,NA,NA,https://www.minniebellssoul.com/,,Closed,,,,Black-owned Restaurant,,Minnie Bell's Soul Movement,"Thursday, Friday, Saturday, Sunday",12:00 AM,,Thursday,3 pm - 7 pm; Sat: 11 am - 2 pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Mise en Place Catering,Mise en Place Catering,6517,Instagram: @chef_bebe.,,,Online,Online,,,NA,NA,https://www.bebepreston.com,,Closed,,,,Black-owned Restaurant,,Mise en Place Catering,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
MJ's Catering,MJ's Catering,6518,Instagram: @mjsmoked.fried.,,,Online,Online,,,NA,NA,,,Closed,,,,Black-owned Restaurant,,MJ's Catering,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Monifa Dayo,Monifa Dayo,6519,Instagram: @monifadayo.,,,Online,Online,,,NA,NA,http://monifadayo.com/,,Closed,,,,Black-owned Restaurant,,Monifa Dayo,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Montperi Catering,Montperi Catering,6520,"Instagram: @montpericatering. Other info: Zoom cooking classes, Donate to provide meals for single mothers and their families in Oakland, frontline workers, hospital staff",,,Online,Online,,,NA,NA,https://www.montpericatering.com/,,Closed,,,,Black-owned Restaurant,,Montperi Catering,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Moraysha,Moraysha,6521,Instagram: @moraysha.,,,Online,Online,,,NA,NA,,,Closed,,,,Black-owned Restaurant,,Moraysha,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Perfect Choyce,Perfect Choyce,6522,Instagram: @perfectchoyce.,,,Santa Teresa Main Street Shopping Center Blossom Hill Road,Santa Teresa Main Street Shopping Center Blossom Hill Road,,95123,NA,NA,https://perfectchoyce.company.site/,,Closed,,,,Black-owned Restaurant,,Perfect Choyce,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Pleasure Principle Supperclub,Pleasure Principle Supperclub,6523,Instagram: @pleasureprinciplediningevents. Other info: Free food distribution events for restaurant events,,,Online,Online,,,NA,NA,https://www.pleasureprinciplediningevents.com/,,Closed,,,,Black-owned Restaurant,,Pleasure Principle Supperclub,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
RedRing Ribs,RedRing Ribs,6524,Instagram: @red_ringribs.,,,Varied,Varied,,,NA,NA,https://www.facebook.com/REDRINGRIBS/,,Closed,,,,Black-owned Restaurant,,RedRing Ribs,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Salt & Fire,Salt & Fire,6525,Instagram: @salt_and_fire.,,,14th St,14th St,,,NA,NA,https://www.saltandfireoakland.com,,Closed,,,,Black-owned Restaurant,,Salt & Fire,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Sassy Kitchen,Sassy Kitchen,6526,Instagram: @sassykitchensj.,,,,,,,,,https://www.instagram.com/sassykitchensj/,,Closed,,,,Black-owned Restaurant,,Sassy Kitchen,Friday,12:00 AM,,Friday,Fri: delivery,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Slides & Sides Eatery,Slides & Sides Eatery,6527,Instagram: @slidesandsides.,,,1100 Franklin Street,1100 Franklin Street,,94607,NA,NA,https://www.slidesnsides.com,,Closed,,,,Black-owned Restaurant,,Slides & Sides Eatery,"Friday, Saturday, Sunday",12:00 AM,,Friday,6pm - 10pm; Sat: 5pm - 10pm; Sun: 12pm - 5pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Sonoma Sauces,Sonoma Sauces,6528,Instagram: @sonomasauces.,,,,,,,,,https://sonomasauces.com/,,Closed,,,,Black-owned Restaurant,,Sonoma Sauces,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Soul Bowl'z,Soul Bowl'z,6529,Instagram: @soul__bowlz.,,,Food truck,Food truck,,,NA,NA,,,Closed,,,,Black-owned Restaurant,,Soul Bowl'z,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Spicy Girl Meal Prep,Spicy Girl Meal Prep,6530,Instagram: @spicygirlmealprep.,,,1922 Broadway Street,1922 Broadway Street,Vallejo,94589,NA,NA,https://www.spicygirlmealprep.com/,,Closed,,,,Black-owned Restaurant,,Spicy Girl Meal Prep,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",9am,5pm,Sun,0,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
SSO Kitchen/Spirit Sliders,SSO Kitchen/Spirit Sliders,6531,Instagram: @ssokitchen.,,,6510 San Pablo Ave,6510 San Pablo Ave,,94608,NA,NA,https://spiritsliders.com/,,Closed,,,,Black-owned Restaurant,,SSO Kitchen/Spirit Sliders,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Stripe's Bustdown & Catering,Stripe's Bustdown & Catering,6532,Instagram: @bustdownandcatering.,,,,,,,,,,,Closed,,,,Black-owned Restaurant,,Stripe's Bustdown & Catering,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
The Busy Wife,The Busy Wife,6533,Instagram: @thebusywife2017.,,,,,,,,,https://thebusywife.net/,,Closed,,,,Black-owned Restaurant,,The Busy Wife,"Monday, Tuesday, Wednesday, Thursday, Friday",9am,5pm,Sat,0,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
The Cocktail Chick,The Cocktail Chick,6534,,,,Online (delivery),Online (delivery),,,NA,NA,https://www.facebook.com/TheCocktailChick/,,Closed,,,,Black-owned Restaurant,,The Cocktail Chick,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
The Cookout,The Cookout,6535,Instagram: @thecookoutft.,,,1350 Pear Ave,1350 Pear Ave,,NA,NA,NA,https://www.facebook.com/thecookoutft,,Closed,,,,Black-owned Restaurant,,The Cookout,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",5pm,2am,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Thomas Thomas Vineyard,Thomas Thomas Vineyard,6536,Instagram: @thomastthomasvineyards.,,,7581 Hwy 128,7581 Hwy 128,,95466,NA,NA,https://www.thomastthomasvineyard.com/,,Closed,,,,Black-owned Restaurant,,Thomas Thomas Vineyard,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",By appointment,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
True Ethiopian Cuisine,True Ethiopian Cuisine,6537,,,,113 Garnet Ave,113 Garnet Ave,,NA,NA,NA,https://trueethiopiancuisine.com/,,Closed,,,,Black-owned Restaurant,,True Ethiopian Cuisine,"Thursday, Friday, Saturday",12:00 AM,,Thursday,4pm - 7pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Two Chicks in the Mix,Two Chicks in the Mix,6538,Instagram: @twochicksinthemix.,,,372 24th St,372 24th St,Oakland,94612,NA,NA,https://www.twochicksinthemix.com/,,Closed,,,,Black-owned Restaurant,,Two Chicks in the Mix,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24 hours,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Vegan Hood Chefs,Vegan Hood Chefs,6539,Instagram: @theveganhoodchefs. Other info: Deliveries every Sunday from 3-6PM. You must pre-order,,,Pop-up,Pop-up,,,NA,NA,https://www.theveganhoodchefs.com/,,Closed,,,,Black-owned Restaurant,,Vegan Hood Chefs,Sunday,12:00 AM,,Sun,delivery 3pm - 6pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Wine Country Feasts,Wine Country Feasts,6540,Instagram: @winecountryfeasts.,,,Online,Online,,,NA,NA,https://www.winecountryfeasts.com/,,Closed,,,,Black-owned Restaurant,,Wine Country Feasts,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Gratta Wines,Gratta Wines,6541,"Instagram: @yespudding. Other info: Available at Gratta Wines, Bayview",,,2022 Lane St San Francisco,2022 Lane St,San Francisco,94124,NA,NA,https://www.grattawines.com,,Closed,,,,Black-owned Restaurant,,Gratta Wines,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",11:00 AM,2:00 PM,Sun,0,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
A Girl Named Pinky,A Girl Named Pinky,6542,Instagram: @agirlnamedpinky.,,,MLK Jr 2495 Bancroft Way Building 1st Floor,MLK Jr 2495 Bancroft Way Building 1st Floor,,94704,37.8692195,-122.2596727,https://www.agirlnamedpinky.com/,,Open,,,,Black-owned Restaurant,,A Girl Named Pinky,"Monday, Tuesday, Wednesday, Thursday, Friday",10:00 AM, 3:00 pm,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Kopia Delices,Kopia Delices,6543,Instagram: @kopiadelices.,,,Bay Area,Bay Area,,94610,37.8110254,-122.242911,http://kopia-delices.myshopify.com,,Open,,,,Black-owned Restaurant,,Kopia Delices,"Monday, Tuesday",8:00 AM, 9:00 pm,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Reuschelle's Cheesecakes,Reuschelle's Cheesecakes,6544,Instagram: @reuschelles.,,,974 A St,974 A St,,94541,37.6740224,-122.0842633,https://www.reuschelles.com/,,Open,,,,Black-owned Restaurant,,Reuschelle's Cheesecakes,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM, 9:00 pm,Wednesday,9:00 am - 9:00 pm; Thurs: 9:00 am - 6:00 pm; Fri: 11:00 am - 11:00 pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Réve Bistro,Réve Bistro,6545,Instagram: @revebistro.,,,960 Moraga Rd F,960 Moraga Rd F,,94549,37.8905556,-122.1180556,,,Closed,,,,Black-owned Restaurant,,Réve Bistro,,,,,,,,,,,,,,,,,,10/26/2020 10:03am,Charlie Hoffs,
My Abyssinia,My Abyssinia,6546,,,,913 4th St,913 4th St,,95404,38.4435002,-122.707689,https://www.my-abyssinia.com/,,Open,,,,Black-owned Restaurant,,My Abyssinia,,12:00 AM,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Enat Winery,Enat Winery,6547,,,,910 81st Ave # 18,910 81st Ave # 18,,94621,37.7513047,-122.1867997,,,Open,,,,Black-owned Restaurant,,Enat Winery,"Monday, Tuesday, Wednesday, Thursday, Friday",10:00 AM, 5:00 pm,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
MexiQ,MexiQ,6548,Instagram: @eastoaklandsmoke.,,,90nd Ave (Walnut & Plymouth St,90nd Ave (Walnut & Plymouth St,,94603,37.7508514,-122.1716149,https://www.mexiqnow.com/,,Open,,,,Black-owned Restaurant,,MexiQ,"Wednesday, Friday",12:00 AM,,Wednesday,2:00 - 6:00 pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Cupcakin' Bake Shop,Cupcakin' Bake Shop,6549,Instagram: @cupcakinbakeshop.,,,907 Washington St,907 Washington St,Oakland,94607,37.8018137,-122.2746932,https://cupcakinbakeshop.com/,,Open,,,,Black-owned Restaurant,,"Cupcakin' Bake Shop,Cupcakin' Bake Shop","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","11:00 AM, 11:00 AM"," 9:00 pm,  6:00 pm",,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
New Eritrea Restaurant,New Eritrea Restaurant,6550,,,,907 Irving St San Francisco,907 Irving St San Francisco,,94122,37.7638694,-122.4676861,http://neweritrearestaurant.com/index.html,,Open,,,,Black-owned Restaurant,,New Eritrea Restaurant,"Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,,Tuesday,4:00 - 10:00 pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Miss Ollie’s,Miss Ollie’s,6551,Instagram: @missolliesoakland.,,,901 Washington St,901 Washington St,,94607,37.8015582,-122.2746812,,,Closed,,,,Black-owned Restaurant,,Miss Ollie’s,,,,,,,,,,,,,,,,,,10/26/2020 10:03am,Charlie Hoffs,
Oasis Cafe,Oasis Cafe,6552,,,,901 Divisadero St San Francisco,901 Divisadero St San Francisco,,94115,37.7778684,-122.4386259,https://www.oasiscafesf.com/,,Open,,,,Black-owned Restaurant,,Oasis Cafe,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",6:00 AM, 9:30 pm,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Dixon's,Dixon's,6553,Instagram: @dixonsrestaurant_.,,,8999 International Blvd,8999 International Blvd,,94621,37.7498589,-122.1750987,https://www.yelp.com/biz/dixons-oakland-3,,Open,,,,Black-owned Restaurant,,Dixon's,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,Tuesday,11:00 am - 6:30 pm; Fri: 11:00 am - 7:00 pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Gourmonade,Gourmonade,6554,Instagram: @gourmonade.,,,899 Valencia St San Francisco,899 Valencia St San Francisco,,94110,37.7587642,-122.4210212,https://www.gourmonade.com/,,Open,,,,Black-owned Restaurant,,Gourmonade,"Friday, Saturday, Sunday",12:00 AM,,Friday,12:00 - 5:00 pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Hippies Brew,Hippies Brew,6555,Instagram: @hippiesbrew.,,,888 C St,888 C St,,94541,37.6710885,-122.083232,https://www.hippiesbrew.com/,,Open,,,,Black-owned Restaurant,,"Hippies Brew,Hippies Brew","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","9:00 AM, 9:00 AM"," 4:30 pm,  4:30 pm",,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Hippies Brew,Hippies Brew,6556,Instagram: @hippiesbrew.,,,888 C St Hayward,888 C St Hayward,,94541,37.6710885,-122.083232,https://www.hippiesbrew.com/,,Open,,,,Black-owned Restaurant,,,,,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Cafe Ethiopia,Cafe Ethiopia,6557,,,,878 Valencia St San Francisco,878 Valencia St San Francisco,,94110,37.7588712,-122.4216608,https://www.yelp.com/biz/cafe-ethiopia-san-francisco,,Open,,,,Black-owned Restaurant,,Cafe Ethiopia,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",5:30 AM, 9:00 pm,Wednesday,5:00 - 9:00 pm; Sat: 11:30 am - 9:30 pm; Sun: 12:00 - 9:00 pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Lois the Pie Queen,Lois the Pie Queen,6558,Instagram: @lois_the_pie_queen.,,,851 60th St,851 60th St,,94608,37.8447523,-122.2729296,http://loisthepiequeen.food73.com/,,Open,,,,Black-owned Restaurant,,Lois the Pie Queen,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",8:00 AM, 2:00 pm,Sat,7:00 am - 3:00 pm; Sun: 7:00 am - 4:00 pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Juanita and Maude,Juanita and Maude,6559,Instagram: @juanitaandmaude.,,,825 San Pablo Ave,825 San Pablo Ave,,94706,37.8909615,-122.298985,https://www.juanitaandmaude.com/,,Open,,,,Black-owned Restaurant,,Juanita and Maude,"Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM,,Wednesday,4:00 - 8:00 pm; Sun: 11:00 am - 7:00 pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Caribbean Spices,Caribbean Spices,6560,Instagram: @carribeanspices.,,,819 4th St,819 4th St,,94901,37.9725931,-122.5243784,https://carribeanspicesdba.net/,,Open,,,,Black-owned Restaurant,,Caribbean Spices,"Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,,Tuesday,12:00 - 9:00 pm; Wed: 11:00 am - 9:00 pm; Fri: 11:00 am - 10:00 pm; Sat: 9:00 am - 10:00 pm; Sun: 9:00 am - 9:00 pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Back a Yard Caribbean Grill,Back a Yard Caribbean Grill,6561,Instagram: @backayardgrill.,,,80 N Market St,80 N Market St,,95113,37.3366721,-121.8927456,backayard.net,,Open,,,,Black-owned Restaurant,,"Back a Yard Caribbean Grill,Back a Yard Caribbean Grill,Back a Yard Caribbean Grill,Back a Yard Caribbean Grill,Back a Yard Caribbean Grill","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","11:00 AM, 11:00 AM, 12:00 AM, 11:00 AM"," 7:00 pm,  7:00 pm,  8:00 pm",Tuesday,11:30 am - 8:00 pm,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Back a Yard Caribbean Grill,Back a Yard Caribbean Grill,6562,Instagram: @backayardgrill.,,,80 N Market St San Jose,80 N Market St San Jose,,95113,37.3366721,-121.8927456,backayard.net,,Open,,,,Black-owned Restaurant,,,,,,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
Lane-e Kefa Coffee,Lane-e Kefa Coffee,6563,Instagram: @laneekefa.,,,77 8th St Suite 182,77 8th St Suite 182,,94607,37.796519,-122.265087,https://www.facebook.com/LaneeKefaCoffee/,,Open,,,,Black-owned Restaurant,,Lane-e Kefa Coffee,"Monday, Tuesday, Wednesday, Thursday, Friday",7:00 AM, 1:00 pm,,,,,,,,,,,7/7/2020,,,,10/26/2020 10:03am,Charlie Hoffs,
